level_0,index,registered_charity_number,charity_name,latest_income,latest_expenditure,charity_activities,charity_contact_address1,charity_contact_email
11,114610,292182,THE ASSOCIATED BOARD OF THE ROYAL SCHOOLS OF MUSIC,45529000,38179000,"ABRSM motivates musical achievement through internationally recognised examination and assessment of students, professional development of teachers and provision of published resources and online learning via its websites, apps and audio and video resources. ABRSM makes significant donations towards music education each year including scholarships to the four Royal Schools of Music.",ASSOCIATED BOARD OF THE ROYAL,abrsm@abrsm.ac.uk
12,135013,313757,VSO,40397650,39180000,"VSO IS THE WORLD'S LEADING INDEPENDENT INTERNATIONAL DEVELOPMENT AGENCY WORKING FOR CHANGE THROUGH VOLUNTEERS.  VSO BRINGS PEOPLE TOGETHER TO SHARE SKILLS, CREATIVITY AND LEARNING TO BUILD A FAIRER WORLD. VSO HAS PROGRAMMES IN OVER TWENTY DEVELOPING COUNTRIES FOCUSING ON DELIVERING SUSTAINABLE CHANGE IN THREE THEMATIC AREAS: EDUCATION, HEALTH AND SECURE LIVELIHOODS.",RUSSELL COOKE SOLICITORS,company.secretary@vsoint.org
13,192488,1017853,ST GEORGE'S WEYBRIDGE,32459129,29860026,The advancement of education by the provision and conduct of a school or schools for boys and girls to enable the fulfilment of their academic potential and personal development within an ethos of Christian ideals which derive from the traditions and teaching of the Roman Catholic Church and by ancillary or incidental education or religious activities for the benefit of the community.,ST. GEORGES COLLEGE,contact@stgeorgesweybridge.com
14,261271,1086829,THE DEAN CLOSE FOUNDATION,30278855,30099501,Education of boys and girls based on Christian principles. Encouragement of personal development in a culture of service to the school and wider communities.,DEAN CLOSE SCHOOL,office@deanclose.org.uk
15,88219,264506,ENGINEERING CONSTRUCTION INDUSTRY TRAINING BOARD,28661000,30591000,"The ECITB is an industry training board accountable to the Dep't for Education. It has statutory responsibility for the development of the GB engineering construction workforce. It levies employers in the industry to fund its charitable activities in four main areas of training, development and assessment, namely Apprenticeships; Technical and Management/Professional programmes and Qualifications.","Office F15, Kings House Business Centre",maria.papadopoulou@ecitb.org.uk
16,342518,1162854,THE CHARTERED ASSOCIATION OF BUSINESS SCHOOLS,24347361,24144783,"THE ADVANCEMENT OF EDUCATION FOR THE PUBLIC BENEFIT BY ADVANCING THE EDUCATION OF THE PUBLIC IN BUSINESS AND MANAGEMENT IN PARTICULAR THROUGH THE PROMOTION OF BUSINESS AND MANAGEMENT EDUCATION, TRAINING AND DEVELOPMENT SO AS TO IMPROVE THE QUALITY AND EFFECTIVENESS OF THE PRACTICE OF MANAGEMENT IN THE UNITED KINGDOM.",3rd Floor,enquiries@charteredabs.org
17,135022,313766,WINE AND SPIRIT EDUCATION TRUST,22141728,22588062,"Promotion provision and development of high quality education and training in wines and spirits, in the United Kingdom and elsewhere, for those who are engaged in the wine and spirit trade or who intend to be so engaged or connected and members of the general public.",39 45 BERMONDSEY STREET,wset@wsetglobal.com
18,142697,504913,THE LINKAGE COMMUNITY TRUST LIMITED,19499581,18802402,"The Trust delivers general education to advance the  social development of learning disabled people developing the skills  necessary to enable them to qualify for useful and gainful occupation.Linkage provides education,develops employment opportunities through its cafes & adult skills provision and provides personalised support through its residential, respite and community support provision.",Linkage Community Trust,info@linkage.org.uk
19,39994,206862,THE SOIL ASSOCIATION LIMITED,18548000,20760000,-   Building public awareness about the benefits of organic food and farming through:     education and public information; and public events programme.-   Training and support for producers on organic practice.-   Regional development programme to link producers to consumers at a local level.-   Ensure the integrity of organic food by the continued development of organic standards.,SOIL ASSOCIATION,sbartolomeu-rook@soilassociation.org
20,303713,1126291,INTERNATIONAL BACCALAUREATE ORGANIZATION (UK) LIMITED,17730800,16917400,"The advancement of education by the development, administration and promotion of:a) programmes of education for students at different levels within schools (primary, middle and upper secondary school levels) for adoption by authorised schools in all countries;b) international examination for authorised schools giving access to higher education in all countries.",Pre-de-la-Bichette 1,legal@ibo.org
21,113336,290866,LHASA LIMITED,16983925,14256863,The charity promotes public education through the development and use of computer-aided reasoning and information systems in chemistry and the chemistry-related sciences.,2 Canal Wharf,michelle.gosling@lhasalimited.org
22,350936,1171446,ASPENS CHARITIES,16213412,17133747,"To relieve the needs of people with learning, physical and other disabilities, including those who are considered to be on the autistic spectrum, by enhancing their independence , potential and quality of life through the provision of stimulating, safe and supportive environments, accommodation, care and programmes of training, education and personal development.",ASPENS,enquiries@aspens.org.uk
23,133875,312590,KING ALFRED SCHOOL SOCIETY,14849568,13897140,"Operates an informal, mixed ability, co-educational day school in northwest London for children aged 4 - 18.  The aim is to support every student to achieve their social and academic potential, inculcating commitment and the joy of achievement through independent learning.Trains teachersPromotes educational research and debate to maximise development of individuals' varied talents.",KING ALFRED SCHOOL,kas@kingalfred.org.uk
24,358117,1177555,SOCIETY OF THE HOLY CHILD JESUS CIO,14353197,7402405,"The Charity aims to support the religious and other charitable works carried on by the Society of the Holy Child Jesus CIO and its members. These activities include education, human and spiritual development, pastoral work, healthcare and the support of activities overseas.",Province Office,europeanprovince@gmail.com
25,267016,1088480,ST COLUMBA'S COLLEGE AND PREPARATORY SCHOOL,13896949,13938528,"The Charity provides education in St Albans to boys from the ages of 4 to 18 (and from September 2021 girls).  It promotes the intellectual, social, moral and spiritual development of young people within a school community rooted in the Roman Catholic tradition.  The Charity actively supports schools of the Brothers of the Sacred Heart, especially through an annual work projects.",St. Columbas College,bursar@stcolumbascollege.org
26,175051,1000328,ENGINUITY,13324266,10995777,"To promote and advance education, training and skills in science, technology, engineering and manufacturing, and in particular to advance skills in such areas as are or may be in future required by the engineering profession, for the development of: (i) persons employed or intending to be employed in Industry and / or commerce, and (ii) the public generally.",Lytchett House,Customer.Services@enginuity.org
27,131950,310635,PIPERS CORNER SCHOOL,13089556,12507031,"Pipers Corner School provides an all round education to the highest standard for girls aged 4 to 18 years, including academic instruction and physical, moral and spiritual development.",PIPERS CORNER SCHOOL LTD,school@piperscorner.co.uk
28,104353,281681,FRIENDS OF THE EARTH CHARITABLE TRUST,12766793,13492219,"Friends of the Earth Charitable Trust is committed to the conservation, protection and improvement of the environment. It promotes sustainable development for the public benefit by funding work that includes campaigning, research, education and publishing, and the provision of information on environmental problems and their solutions.",Friends of The Earth,info@foe.co.uk
29,133168,311871,MOOR HOUSE SCHOOL & COLLEGE,12528113,11310039,Moor House exists to provide children and students who have severe developmental language disorder with an education that prepares them for life as confident and independent members of society.,MOOR HOUSE SCHOOL,info@moorhouseschool.co.uk
30,283692,1104917,LEAGUE FOOTBALL EDUCATION,11654716,11588882,"The provision of quality, education, training and development for the benefit of individual apprentices",EFL House,info@lfe.org.uk
31,132409,311096,THE ASHRIDGE (BONAR LAW MEMORIAL) TRUST,11578000,13955000,"ASHRIDGE UNDERTAKES 3 PRINCIPAL ACTIVITIES. PRAGMATIC RESEARCH RELEVANT TO ALL BUSINESS SECTORS IS WIDELY DISSEMINATED THROUGH PROGRAMMES, PUBLICATIONS AND THE INTERNET. THE HISTORIC ESTATE IS WELL MAINTAINED AND REGULARLY OPEN TO THE PUBLIC. EXECUTIVE EDUCATION COMPRISES MANAGEMENT AND ORGANISATION DEVELOPMENT THROUGH PUBLIC AND CUSTOMISED PROGRAMMES, WITH THE OPTION OF ACADEMIC QUALIFICATIONS.",Ashridge Executive Education,mark.coleman@ashridge.hult.edu
32,220043,1045501,NORTH ENGLAND CONFERENCE OF SEVENTH-DAY ADVENTISTS,11544607,9575709,"A Christian Church involved in promoting the Gospel: active in education & service to the whole community through programmes aimed at youth, family, marriage, health and spiritual development; all seek to encourage good citizenship. A strong emphasis is placed on healthful living to prevent disease. The charity, as a Mission, also assists overseas in humanitarian aid through its related charities.",C/O NORTH ENGLAND CONFERENCE,admin@necadventist.org.uk
33,364965,1183556,KENT UNION,11443182,11450132,"The advancement of education of students at the University of Kent for the public benefit by; promoting their interests and welfare and representing, supporting and advising students: representing student's interests to the University; and providing social, cultural, sporting and recreational activities and forums for discussions and debate for the personal development of students.",Mandela Building,kentunion@kent.ac.uk
34,323321,1145108,ACORN EARLY YEARS FOUNDATION,11419095,11480339,Early years care and education in day nurseries and out-of-school clubsForest Schools Training and development activities for early years practitioners,Acorn Early Years Foundation,info@acornearlyyears.org.uk
35,42777,210031,ICAN CHARITY,10884000,11617000,"I CAN provides a combination of specialist therapy and education for children with speech and language difficulties through its Special Schools and Language Development Programmes, to enable children to develop and reach their full potential. We provide information for parents and a programme of courses, conferences, seminars and training to help professionals identify and support these children",17-21 Wenlock Road,information@speechandlanguage.org.uk
36,316641,1135156,TREE AID,10780119,8837227,"TREE AID works with poor families, especially women, in the African drylands to unlock the potential of trees to reduce poverty & protect the environment. We provide education, training, policy & technical advice on tree based development initiatives that support poor communities build incomes, improve their management of & secure access to natural resources, & achieve nutritional security.",BRUNSWICK COURT,info@treeaid.org
37,320630,1143246,THE WORKFORCE DEVELOPMENT TRUST LIMITED,10362406,10321380,"Promoting and advancing workforce education, training and skills; Improving the design and implementation of workforce development practices and policies; Providing integrated learning, accreditation and digital solutions; Undertaking and assisting in the identification, design and recognition of continuing professional development  for individuals and teams",The Workforce Development Trust Ltd,jael.wheeler@wdtrust.org.uk
38,141572,503717,IRONBRIDGE GORGE MUSEUM TRUST LIMITED,10135727,13502966,"The principal activities of the Trust are the preservation of historic properties and the development and management, as an educational charity, of Museums relating to the industrial, social and economic history of the Ironbridge Gorge World Heritage Site and related areas, with particular reference to the Industrial Revolution.",IRONBRIDGE GORGE MUSEUM TRUST,information@ironbridge.org.uk
39,107526,284934,GREENPEACE ENVIRONMENTAL TRUST,10126439,11017107,"The Trust aims to achieve its objectives by funding work that includes education, scientific research, investigations and promoting sustainable development.In the medium to long term we are prioritising work in the areas of Climate change, Forests, and Oceans.We work closely with other Greenpeace entities around the world so as to maximise the impact of our charitable work.",Greenpeace UK,info.uk@greenpeace.org
40,289564,1110311,ST MARY'S COLLEGE CROSBY TRUST LIMITED,9960644,9754625,The Charity provides educational facilities and training for boys and girls from birth to 18 years of age. In accordance with its status as a Blessed Edmund Rice School the Trustees offer scholarships and bursaries to children whose families would not otherwise be able to afford an education that provides a balanced and integrated development of the true potentials of the whole person.,ST. MARYS COLLEGE,office@stmarys.lpool.sch.uk
41,76345,250216,CONTEMPORARY DANCE TRUST LIMITED,9363886,8632580,"The principal activity of The Place is the development of contemporary dance through a higher education establishment, producing and touring work, a theatre and other artistic and educational activities.",Contemporary Dance Trust,info@theplace.org.uk
42,342376,1164661,ENVIRONMENTAL DEFENSE FUND UK,9302994,9844847,"Environmental Defense Fund Europe seeks - the advancement of the conservation, protection and improvement of the physical and natural environment- the advancement of the education of the public with particular reference to the conservation, protection and improvement  of the physical and natural environment- promotion of sustainable development",1st Floor,compliance@edf.org
43,292157,1118492,AL MUSTAFA WELFARE TRUST INTERNATIONAL LTD,9108719,7469077,"General charitable and religious educational activities throughout UK.Medical, aid, relief of poverty, famine relief and community development internationally.",110 High Street,sajid@almustafatrust.org
44,332591,1152244,THE BLUE COAT SCHOOL BIRMINGHAM LIMITED,9078632,9032595,"The object of the School is the provision and conduct, in or near the City Of Birmingham, of a day school for boys and girls. Within this object, the School has various permanent endowments and unendowed Trust Funds held for special purposes in connection with the development of the School's facilities and for Foundations, scholarships, bursaries, prizes and other educational purposes.",The Blue Coat School,morgangw@thebluecoatschool.com
45,97977,275119,ROYAL COLLEGE OF OCCUPATIONAL THERAPISTS,9020000,11043000,"The college sets the professional and educational standards for occupational therapy. It provides leadership, guidance and information relating to research and development, education, practice and lifelong learning.",ROYAL COLLEGE OF,steve.ford@rcot.co.uk
46,119710,297489,TEXTILE REUSE AND INTERNATIONAL DEVELOPMENT,8657587,6949735,"TRAID is an environmental and poverty relief charity. TRAID reduces landfill through; the provision of textile recycling facilities, its charity shops and upcycled clothing. Funds raised go to environmental and textile related international development projects and TRAID's education programmes developed to gain greater recycling participation and empathy with the issues surrounding global poverty.",Unit G10,info@traid.org.uk
47,176307,1001586,WorldSkills UK,8631963,8876092,"WorldSkills UK is a partnership between education, industry and UK governments. It is a world-class skills network, a catalyst for: raising standards through international benchmarking and professional development; championing future skills through analysis of rapidly changing economic demand; and empowering young people from all backgrounds through competitions-based training and careers advocacy",WorldSkills UK,getintouch@worldskillsuk.org
48,311048,1136894,WARWICK STUDENTS' UNION,8509245,8545117,"The objects are the advancement of education of students at the University of Warwick by-promoting their interests & welfare, representing, supporting & advising -being the recognised representative of Students to the University & other external bodies -providing social, cultural, sporting & recreational activities & forums for discussions & debate for their personal development",UNIVERSITY OF WARWICK,enquiries@warwicksu.com
49,99865,277077,ST JOSEPH'S COLLEGE READING TRUST,8423302,8409494,"St. Joseph's College is an independent day school for girls and boys aged three to eighteen.The school aims to benefit the public through the advancement of education within the Roman Catholic ethos, providing the highest quality of academic tuition and ensuring the development of wider artistic, sporting and social skills in all pupils.",ST. JOSEPHS COLLEGE,mailbox@sjcr.org.uk
50,80004,254591,ROFFEY PARK INSTITUTE LIMITED,8144746,8658951,"Roffey Park's aim is to help organisations and their people work in a more enlightened way.  We do this in two ways.  We research and report on, for the benefit of the public, issues affecting the health and welfare of people in work.  We also offer a wide range of educational programmes and events addressing personal and management development issues.",ROFFEY PARK INSTITUTE,info@roffeypark.com
51,296589,1116751,THE ASFARI FOUNDATION,8104717,3105219,"The Asfari Foundation's mission is to help young people make a valuable contribution to society by empowering them through education, research, the power of free thinking and by encouraging the development of civil society.  The Foundation does all its work through partnerships with other organisations.",THE ASFARI FOUNDATION,admin@asfarifoundation.org.uk
52,134276,313001,THE SOUTHWARK DIOCESAN BOARD OF EDUCATION (INCORPORATED),8068217,8090904,"Primary function is to develop Church of England Education. Services are provided in the form of 1: Advice and Guidance to Teachers, Governors, Trustees and Chaplains. 2: Training and Development for School Staff and Governors 3: Project Manangement and support for the development of School Buildings and Facilities and 4: Support for the provision and development of Education Chaplaincy.",Southwark Diocesan Board Of Edn,sdbe@southwark.anglican.org
53,167651,700510,COMMUNITY FOUNDATION SERVING TYNE & WEAR AND NORTHUMBERLAND,7906571,9304115,"The Community Foundation is a generalist grantmaker to a wide range of community groups predominantly in the area of Tyne & Wear and Northumberland.  Its vision is effective giving, thriving communities and enriched lives. The predominant activity is grantmaking but the Community Foundation also devotes resources to development and donor education which aim to increase local philanthropy.",Community Foundation,general@communityfoundation.org.uk
54,228330,1053864,YMCA LONDON CITY AND NORTH,7754070,7588874,"Enabling the development of young people through the provision of supported housing, youth work, counselling, advice and guidance and health education.",LandAid House,info@cityymca.org
55,360268,1179440,SHERBORNE HOUSE TRUST 2018,7409431,276969,"RESTORING, PRESERVING AND MAINTAINING SHERBORNE HOUSE, SHERBORNE, DORSET, INCLUDING THE THORNHILL MURALPROMOTING, AND ADVANCING THE EDUCATION OF THE PUBLIC IN, THE ARTS, INCLUDING (a) PROMOTING AND PROVIDING FACILITIES FOR PARTICIPATION IN THE ARTS; AND(b)FOSTERING AND PROMOTING THE IMPROVEMENT AND DEVELOPMENT OF ARTISTIC KNOWLEDGE,UNDERSTANDING AND APPRECIATION OF THE ARTS",Albert Goodman,chris@twocannons.co.uk
56,257344,1078488,MUSLIM CHARITY HELPING THE NEEDY,7156218,6875619,"Muslim Charity's mission has evolved effectively over the last few years. Muslim Charity continues to  provide emergency relief during and after a disaster has struck, but also focuses on addressing underlying causes of poverty,such as health, education   and   economic   development.Building Hospitals, Safe drinking water, Schools,Orphan sponsorship projects are the core target of Muslim Charity.",EATON HALL,info@muslimcharity.org.uk
57,228276,1053810,PACT EDUCATIONAL TRUST LIMITED,6915603,8701288,"The advancement of education and the development of character in accordance with Christian principles, particularly through the provision of schools. We pursue academic and personal excellence for all pupils, in particular in the acquisition of Christian virtues.",PACT Educational Trust,finance@pactschools.org.uk
58,295451,1121007,UK Storyhouse Limited,6863001,7514185,UK Storyhouse Limited (trades as Storyhouse) is an educational arts based charity promoting the development of the performing arts in and around Chester.,Storyhouse,info@storyhouse.com
59,41648,208734,NORFOLK WILDLIFE TRUST,6805442,6727010,To advance the conservation of wildlife and wild places in Norfolk for the public benefit and to advance the education of the public in the principles and practices of sustainable development.,NORFOLK WILDLIFE TRUST,info@norfolkwildlifetrust.org.uk
60,261183,1083812,SEVERN WYE ENERGY AGENCY,6695198,6330097,"Education and promotion of sustainable resource use, energy efficiency and renewable energy to tackle the fuel poverty and to improve health, wellbeing and quality of life for all. Protection of the environment, relief of poverty and community regeneration through sustainable development solutions, training and delivery, to meet the needs of the present without compromising future generations.",3rd Floor Pillar and Lucy House,info@severnwye.org.uk
61,306301,1127631,THE WOMEN'S ORGANISATION,6663118,5999484,"Providing accessible, quality and gender sensitive enterprise; employment, education, management development services to women. Supporting women in the improvement of health and wellbeing. Stimulating research to support women's economic development. Influencing policy to improve the position of women. Delivering gender friendly incubator and meeting spaces.Maintaining a sustainable organisation",54 ST. JAMES STREET,info@thewo.org.uk
62,341426,1164694,B LAB (UK),6528171,5264366,"TO ADVANCE THE EDUCATION OF THE PUBLIC IN SUSTAINABLE DEVELOPMENT & BUSINESS & PROMOTE ITS STUDY.TO PROMOTE SUSTAINABLE DEVELOPMENT FOR PUBLIC BENEFIT OF: PRESERVATION & PROTECTION OF THE ENVIRONMENT, PRUDENT USE OF RESOURCES & PROMOTION OF SUSTAINABLE MEANS OF ECONOMIC GROWTH. TO PROMOTE ETHICAL STANDARDS OF CONDUCT & MAXIMISE THE POSITIVE IMPACT & MINIMISE THE NEGATIVE EFFECTS OF BUSINESS.",X & Why,governance@bcorporation.uk
63,366369,1189216,HG FOUNDATION,6490799,2701348,"The aim of the Hg Foundation is to support the development of education and skills and reduce barriers to long-term, sustainable employment, improving outcomes for those that need it most. ",2 MORE LONDON RIVERSIDE,info@thehgfoundation.com
64,351879,1172269,LANCASTER UNIVERSITY STUDENTS' UNION,6468330,6299926,"The activities include (not exhaustive):* Education & Support : promoting the interests and welfare of students at LU and representing, supporting and advising students* Provides social , cultural, sporting and recreational activities e.g. clubs & societies, volunteering, campus events* Provides forums for discussions and debates for personal development of students",Lancaster University,help@lancaster.co.uk
65,304193,1124896,NEWCASTLE UNITED FOUNDATION,6380690,6246867,"Through our sporting, education, personal development and health programmes, we help people to be more active, tolearn, to be more employable, to be healthier, to make connections and to reach their potential.",Nucastle,foundation@nufc.co.uk
66,120367,298155,THORPE HALL SCHOOL TRUST,6337231,5830986,"The promotion and advancement of education at Thorpe Hall School to provide education to children from pre-nursery to 16 years plus - an independent co-educational day school - maintenance of schools land and buildings. Provision of means tested bursaries. Engagement with community development of pupils sporting, artistic and social skills.",THORPE HALL SCHOOL,sec@thorpehall.southend.sch.uk
67,298552,1118377,NEW COLLEGE WORCESTER,6331172,6356782,"New College Worcester is a residential school for blind and partially sighted children and young people aged 11-19. As well as a full curriculum with a wide range of GCSE and A-Levels, the development of independent living skills and an extensive programme of extra-curricular activities is part of the educational provision.",New College,office@ncw.co.uk
68,278596,1099027,THE MAYNARD SCHOOL,6249882,5786799,"An Independent Girls Day School offering education for pupils up to the age of 18.  The aim is to provide a first class independent education, through strong academic tuition, effective pastoral care, and wider social, cultural, sporting and spiritual development of academically able girls.  Girls are encouraged to develop as articulate, confident and responsible members of a community.",The Maynard School,bursarsoffice@maynard.co.uk
69,336936,1157318,CGD EUROPE,6145549,6820197,"The activities of the charity are to promote, for the public benefit, education and research into: Poverty; Health; Sustainable Development; Economics; Good governance and transparency in public life and administration; Public Finance and to Publish and disseminate the useful results of such research.",10 QUEEN STREET PLACE,Europe@cgdev.org
70,152998,515595,ST LUKE'S CHESHIRE HOSPICE,6129236,5045226,"The Charity's activities includeIn-care, day-care, therapies, home befriending service, lymphoedema clinic, benefits advice,counseling,education,research into palliative care thus improving servicesAlsoDevelopment of a model for dementia care for the end of life,development of an infrastructure for palliative care research,development of a model of a Public Health/end of life approach.",Grosvenor House,enquiries@slhospice.co.uk
71,323395,1143067,UWE STUDENTS' UNION,6068377,6055623,"UWE Students' Union exists to advance the education of students at the University of the West of England by promoting the interests and welfare of students during their course of study and representing, supporting and advising students. Also by providing social, cultural, sporting and recreational activities and forums for discussions and debate for the personal development of students.",UWE Students Union,union@uwe.ac.uk
72,251612,1073945,THE DOREEN BIRD FOUNDATION,5908312,5718501,"The objectives of the charity are:To advance the education of the public in the study of performing arts, dance, drama, singing, music and related subjectsTo promote the development of education in performing artsTo promote the development of facilities for the teaching and performance of performing arts, dance, drama, singing and related subjects",Bird College,kerensa.gardner@birdcollege.co.uk
73,293238,1114995,HOMEFIELD COLLEGE LIMITED,5881854,5626293,"Provision of residential and day education for young adults with autistic spectrum conditions, communication difficulties and learning disabilities and residential care and development for adults that are older (22+) with similar disabilities.  Developing vocational and occupational skills that are relevant to the individual.",217 Loughborough Road,charity-commission@homefieldcollege.ac.uk
74,259621,1081229,LIVERPOOL AND MERSEYSIDE THEATRES TRUST LIMITED,5798000,6483000,"The Trust manages two theatres, the Liverpool Playhouse and the Everyman Theatre. Both are producing theatres. The Everyman Theatre places an emphasis on the production of new work and new writers. Both theatres also host a programme of visiting companies presenting theatre and dance. A significant element of the theatres' work comprises outreach, education and writer development programmes.",Liverpool & Merseyside Theatres Tru,info@everymanplayhouse.com
75,254847,1082058,KEEP WALES TIDY,5710031,5764365,"Keep Wales Tidy works for the improvement of local environments by 1. encouraging the public to act in a responsible manner; 2. supporting organisations that work for a cleaner and tidier local environment.3. promoting sustainable development, education and community action.",Keep Wales Tidy Campaign,info@keepwalestidy.cymru
76,260232,1084057,MINHAJ-UL-QURAN WELFARE FOUNDATION,5678772,3876403,"Minhaj Welfare Foundation (MWF): A Worldwide Humanitarian Development organisation Alleviate poverty in the undeveloped regions of the world by developing long term and sustainable projects.Advance and promote human rights, equality and diversity irrespective of race, colour and creed in the worldAdvance in Humanitarian projects focusing at key areas of Education,Health & General Welfare",5 Christie Way,info@minhajwelfare.org
77,343757,1165752,MCS CHARITABLE FOUNDATION,5583835,4089211,"THE OBJECTS OF THE CHARITY ARE: (A) THE ADVANCEMENT OF EDUCATION AND ENVIRONMENTAL PROTECTION AND IMPROVEMENT BY EDUCATING THE PUBLIC IN THE SUBJECT OF THE DESIGN, DEVELOPMENT, MANUFACTURE AND INSTALLATION OF RENEWABLE ENERGY AND LOW CARBON TECHNOLOGIES (PRODUCTS AND SYSTEMS) (INCLUDING, FOR THE AVOIDANCE OF DOUBT, PROVIDING BURSARIES TO THOSE WISHING TO PURSUE CAREERS IN THIS AREA",First Floor Violet 3,info@mcscharitablefoundation.org
78,244943,1067124,BRITISH SOCIETY FOR RHEUMATOLOGY,5435467,5327818,"The charity's principal activity is the advancement of education, research and training of the multidisciplinary team;  the development of clinical and scientific knowledge about arthritis, musculoskeletal and autoimmune rheumatic conditions; andthe advancement of health by the improvement of standards of clinical care in paediatric, adolescent and adult rheumatology.",BRITISH SOCIETY FOR RHEUMATOLOGY,bsr@rheumatology.org.uk
79,357467,1177514,THIRTY PERCY FOUNDATION,5353969,4860067,"The Foundation makes grants to promote sustainable development for the benefit of the public and to advance the education of the public in subjects relating to sustainable development and the protection, enhancement and rehabilitation of the environment, and to promote study and research in such subjects. ",30 Percy Street,hello@thirtypercy.org
80,301221,1122613,EAST LONDON MOSQUE TRUST,5111762,4388641,"The East London Mosque Trust provides a range of spiritual and community services that improve the quality of life of beneficiaries visiting or residing in London. Our activities are divided into the following: Religious Services, Education and Training, Social Welfare, Community Cohesion, and Economic Development.",East London Mosque Trust,info@eastlondonmosque.org.uk
81,373064,1194169,EA FOUNDATION,5063597,185078,"EA Foundation works to support the most marginalised communities on some of the most underserved  issues. We fund projects in education, poverty reduction, basic services and sustainable development worldwide. We are also committed to supporting emergency response work that addresses the suffering of communities affected by conflict, health or natural disasters and other emergencies.",c/o Energy Aspects Ltd,info@ea-foundation.org.uk
82,291679,1126661,THE ABC TRUST,5060555,5131898,"THE CHARITY HOLDS ITS PROPERTY, WHICH IS CURRENTLY UNDER DEVELOPMENT, PRIMARILY FOR USE AS A COMMUNITY CENTRE AND A SYNAGOGUE AND FOR PROVIDING JEWISH EDUCATION. IT ALSO MAKES GRANTS AND DONATIONS IN ACCORDANCE WITH ITS OBJECTIVES TO INSTITUTIONS WHICH UTILISE FUNDS IN A MANNER WHICH ACCORDS WITH THE CHARITY'S OBJECTIVES.",79 WARGRAVE AVENUE,
